id,category,author,title,cover,inventory,threshold,price
1,book,Yvonne Vera,Opening Spaces: An Anthology of Contemporary African Women's Writing,,20,10,14.52
2,book,The Caine Prize for African Writing,The Caine Prize for African Writing 2010: 11th Annual Collection,,20,10,13.46
3,book,Roger D. Abrahams,African Folktales,,20,10,18.95
4,book,Vincent Carretta,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,,20,10,30.00
5,book,Esi Sutherland-Addy,Women Writing Africa: West Africa and the Sahel,,20,10,29.95
6,book,The Caine The Caine Prize for African Writing,10 Years of the Caine Prize for African Writing: Plus Coetzee  Gordimer  Achebe  Okri,,20,10,18.95
7,book,Bayo Ogunjimi,Introduction to African Oral Literature and Performance,,20,10,23.95
8,book,Marie-Chantal Kalisa,Violence in Francophone African and Caribbean Women's Literature,,20,10,45.00
9,book,John William Johnson,Oral Epics from Africa,,20,10,24.95
10,book,Tony Martin,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,,20,10,14.95
11,book,Various,Land Apart: A South African Reader,,20,10,12.71
12,book,Amandina Lihamba,Women Writing Africa: The Eastern Region,,20,10,29.95
13,book,Nobantu Rasebotsa,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,,20,10,22.13
14,book,Kevin Powell,Step into a World: A Global Anthology of the New Black Literature,,20,10,26.31
15,book,Werner Sollors,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,,20,10,
16,book,New Internationalist,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,,20,10,16.24
17,book,McGraw-Hill,Traditions in World Literature: Literature of Africa  Softcover Student Edition,,20,10,7.55
18,book,Gcina Mhlophe,Love Child,,20,10,8.97
19,book,Jacana Media,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,,20,10,25.13
20,book,Sheila Meintjes,Women Writing Africa: The Southern Region: Volume 1,,20,10,1.99
21,book,ValZrie Orlando,Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,,20,10,82.00
22,book,Kenneth W. Harrow,Less Than One and Double: A Feminist Reading of African Women's Writing,,20,10,116.43
23,book,Anthonia C. Kalu,The Rienner Anthology of African Literature,,20,10,30.39
24,book,Toyin Falola,Oral and Written Expressions of African Cultures,,20,10,26.88
25,book,Monica Arac de Nyeko,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,,20,10,16.18
